,date,year,month,day,content,replies,retweet,likes
25,2020-05-04 13:10:58,2020,5,4,terap psbb telah langsung di provinsi dan kabkota di indonesia kita evaluasi terap psbb itu mana yang terlalu over yang bablas dan yang masih kendur evaluasi ini penting untuk perbaikanperbaikan di kotakab maupun provinsi sebut,584,739,5882
26,2020-05-02 12:07:41,2020,5,2,pandemi covid telah beri kita begitu banyak ajar tidak hanya tentang upaya putus mata rantai tular tapi juga bagaimana anakanak kita tetap ajar dan bagaimana sekolahsekolah kreasi manfaat teknologi dalam proses ajar ajar,1094,2359,16412
27,2020-05-01 17:04:05,2020,5,1,demi kurang dampak buruk covid perintah usaha lindung para buruh agar tetap hasil juga tahan mampu ekonomi para laku usaha lalu bagai bijak semua tuju agar buruh dan usaha bisa tahan di era pandemi ini,1414,1540,13265
28,2020-04-30 18:26:43,2020,4,30,saya buka musrenbangnas tahun ini dengan pesan rencana bangun tahun depan harus adaptif kita siap dengan bagai skenario dengan itu kita siap langkah mitigasi dampak sehat ekonomi sekaligus pulih jika pandemi sudah bisa kita kendali,390,531,4485
29,2020-04-30 18:22:15,2020,4,30,dalam kondisi tekan yang luar biasa kita butuh sinergi yang kuat dan jalin erat antara perintah pusat dan perintah daerah semua harus jalan dalam satu visi satu arah dan bijak yang solid dengan sinergi itu kita bisa lewat badai ini dengan selamat,729,1239,9757
30,2020-04-30 18:18:11,2020,4,30,kita lebih tahu bagai potensi di dalam negeri yang belum kelola maksimal belum bangun dan manfaat cara baik karena itu rencana bangun tahun dan tahuntahun ikut harus betulbetul adaptif dengan kembang situasi yang kita hadap saat ini,149,234,2571
31,2020-04-30 18:16:46,2020,4,30,pandemi covid telah beri sempat kepada kita untuk lihat apa saja yang perlu baik di bagai aspek di negara kita dari tahan sosial ekonomi pangan gantung kepada negara lain dan utama dunia sehat kita,1008,1301,10471
32,2020-04-30 16:50:52,2020,4,30,kita lebih tahu bagi potensi di dalam negeri yang belum kelola maksimal belum bangun dan manfaat cara baik karena itu rencana bangun tahun dan tahuntahun ikut harus betulbetul adaptif dengan kembang situasi yang kita hadap saat ini,103,126,866
33,2020-04-30 14:10:07,2020,4,30,selamat kerja bapak muhammad syarifuddin bagai ketua mahkamah agung republik indonesia,287,1025,12402
34,2020-04-29 18:08:14,2020,4,29,perintah siap lima skema lindung dan pulih ekonomi bagi umkm di tengah pandemi ini yakni bansos bagi yang kategori miskin insentif paja relaksasi dan restruktrurisasi kredit luas biaya sampai perintah jadi sangga dalam ekosistem umkm,1059,1148,9098
35,2020-04-28 17:36:27,2020,4,28,covid ini tidak kenal batas negara suku dan agama kita tak mungkin tangan sendiri karena itu saya telah bicara dengan pimpin negara arab saudi uea as rrt rusia jepang singapura australia dll dalam semangat solidaritas untuk saling bantu,1627,2761,19859
36,2020-04-28 16:43:39,2020,4,28,penggal sajak di musim pandemi,677,3351,20642
37,2020-04-27 12:58:42,2020,4,27,perintah sama dpr milik pandang yang sama untuk tunda bahas klaster ketenagakerjaan dalam ruu cipta kerja dengan tunda itu akan lebih banyak waktu dalam substansi dari pasalpasal kait juga untuk dapat masuk dari para mang penting,551,847,7234
38,2020-04-25 14:39:37,2020,4,25,galang bantu apd kreasi buat kotak disinfektan hand sanitizer bagi makan tebar narasi positif dll begitu sifat solidaritas gotong royong bantu bantu dan kreativitas bangsa indonesia hadap pandemi covid ini,966,1022,8603
39,2020-04-24 19:50:11,2020,4,24,saya paham putus undur diri adamas belva syah devara dan andi taufan garuda putra dari jabat staf khusus presiden dua adalah anak muda cerdas dengan reputasi dan prestasi yang sangat baik saya percaya mereka akan sukses di bidang masingmasing,1360,2193,23731
40,2020-04-24 08:27:26,2020,4,24,tidak ada semara di jalan ruang masjid pun ada dalam kedaan sepi suasana ramadan yang beda dari tahuntahun lalu tapi kita jalan dengan penuh rasa syukur oleh sempat yang lebih lapang untuk ibadah,790,2101,15826
41,2020-04-23 21:14:40,2020,4,23,pandemi global covid masih langsung saat bulan ramadan datang maka sembari bepuasa mari tetap ikhtiar untuk putus rantai sebar virus global ini dengan hidup sehat dan doa agar pandemi ini segera lalu selamat jalan ibadah puasa,914,3069,19276
42,2020-04-22 14:01:44,2020,4,22,saya telah minta jajar perintah kait untuk hitung skema beri stimulus kepada sektor riil ini sektor apa dapat stimulus apa dan bisa selamat tenaga kerja berapa semua hitung,229,181,2229
